orig_name,normalized
AHMET YESEVİ,AHMET YESEVİ
BAHÇELİEVLER,BAHÇELİEVLER
BALLICA,BALLICA
BATI,BATI
DOĞU,DOĞU
DUMLUPINAR,DUMLUPINAR
EMİRLİ,EMİRLİ
ERTUĞRUL GAZİ,ERTUĞRUL GAZİ
ESENLER,ESENLER
ESENYALI,ESENYALI
FATİH,FATİH
FEVZİ ÇAKMAK,FEVZİ ÇAKMAK
GÖÇBEYLİ,GÖÇBEYLİ
GÜLLÜ BAĞLAR,GÜLLÜ BAĞLAR
GÜZELYALI,GÜZELYALI
HARMANDERE,HARMANDERE
KAVAKPINAR,KAVAKPINAR
KAYNARCA,KAYNARCA
KURNA,KURNA
KURTDOĞMUŞ,KURTDOĞMUŞ
KURTKÖY,KURTKÖY
ORHANGAZİ,ORHANGAZİ
ORTA,ORTA
RAMAZANOĞLU,RAMAZANOĞLU
SANAYİ,SANAYİ
SAPAN BAĞLARI,SAPAN BAĞLARI
SÜLÜNTEPE,SÜLÜNTEPE
VELİBABA,VELİBABA
YAYALAR,YAYALAR
YENİ,YENİ
YENİŞEHİR,YENİŞEHİR
YEŞİLBAĞLAR,YEŞİLBAĞLAR
ÇAMLIK,ÇAMLIK
ÇAMÇEŞME,ÇAMÇEŞME
ÇINARDERE,ÇINARDERE
Ömerli Barajı,ÖMERLİ BARAJI
ŞEYHLİ,ŞEYHLİ
