orig_name,normalized,sandik_count
AHMET YESEVİ MAH.,AHMET YESEVİ,63
BAHÇELİEVLER MAH.,BAHÇELİEVLER,29
BALLICA MAH.,BALLICA,2
BATI MAH.,BATI,31
DOĞU MAH.,DOĞU,35
DUMLUPINAR MAH.,DUMLUPINAR,58
EMİRLİ MAH.,EMİRLİ,1
ERTUĞRUL GAZİ MAH.,ERTUĞRUL GAZİ,28
ESENLER MAH.,ESENLER,70
ESENYALI MAH.,ESENYALI,30
FATİH MAH.,FATİH,44
FEVZİ ÇAKMAK MAH.,FEVZİ ÇAKMAK,81
GÖÇBEYLİ MAH.,GÖÇBEYLİ,3
GÜLLÜ BAĞLAR MAH.,GÜLLÜ BAĞLAR,39
GÜZELYALI MAH.,GÜZELYALI,74
HARMANDERE MAH.,HARMANDERE,19
KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,1
KAVAKPINAR MAH.,KAVAKPINAR,135
KAYNARCA MAH.,KAYNARCA,104
KURNA MAH.,KURNA,3
KURTDOĞMUŞ MAH.,KURTDOĞMUŞ,2
KURTKÖY MAH.,KURTKÖY,79
ORHANGAZİ MAH.,ORHANGAZİ,59
ORTA MAH.,ORTA,8
RAMAZANOĞLU MAH.,RAMAZANOĞLU,6
SANAYİ MAH.,SANAYİ,7
SAPAN BAĞLARI MAH.,SAPAN BAĞLARI,27
SÜLÜNTEPE MAH.,SÜLÜNTEPE,53
VELİBABA MAH.,VELİBABA,86
YAYALAR MAH.,YAYALAR,29
YENİ MAH.,YENİ,37
YENİŞEHİR MAH.,YENİŞEHİR,138
YEŞİLBAĞLAR MAH.,YEŞİLBAĞLAR,15
ÇAMLIK MAH.,ÇAMLIK,40
ÇAMÇEŞME MAH.,ÇAMÇEŞME,69
ÇINARDERE MAH.,ÇINARDERE,46
ŞEYHLİ MAH.,ŞEYHLİ,41
