year,election_type,total_map,total_secim,matched,only_map,only_secim,match_rate
2018,CUMHURBAŞKANI,37,37,36,1,1,97.3
2018,MİLLETVEKİLİ_GENEL,37,37,36,1,1,97.3
2019,BELEDİYE_BAŞKANLIĞI,37,37,36,1,1,97.3
2019,BELEDİYE_MECLİSİ_ÜYELİĞİ,37,37,36,1,1,97.3
2019,BÜYÜKŞEHİR_BELEDİYE_BAŞKANLIĞI,37,37,36,1,1,97.3
2019,İstanbul_BÜYÜKŞEHİR_BELEDİYE_BAŞKANLIĞI,37,37,36,1,1,97.3
2023,1_CUMHURBAŞKANI,37,37,36,1,1,97.3
2023,2_CUMHURBAŞKANI,37,37,36,1,1,97.3
2023,MİLLETVEKİLİ_GENEL,37,37,36,1,1,97.3
2024,BELEDİYE_BAŞKANLIĞI,37,37,36,1,1,97.3
2024,BELEDİYE_MECLİSİ_ÜYELİĞİ,37,37,36,1,1,97.3
2024,BÜYÜKŞEHİR_BELEDİYE_BAŞKANLIĞI,37,37,36,1,1,97.3
