il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,AK PARTİ,AYDEMİR GÜLER,CHP,CUMHUR İTTİFAKI,HASAN ATASOY TORUN,HDP,HÜDA PAR,MHP,MİLLET İTTİFAKI,SAADET,VATAN PARTİSİ,İYİ PARTİ
İSTANBUL,PENDİK,AHMET YESEVİ MAH.,AHMET YESEVİ,50,15644,21.209736587240307,0.00303951367781155,11.872659948897983,0.3897862970635364,0.0033112582781456954,8.915077709412001,0.18331607062600694,4.6199500826752145,0.08929461912071157,0.481785656982064,0.06709691057113476,2.1649453454550804
İSTANBUL,PENDİK,BAHÇELİEVLER MAH.,BAHÇELİEVLER,25,8182,9.639081199733678,0.009290958763766755,7.792055379382617,0.19355084724067995,0.0,1.1291213961645035,0.02760963660934085,2.4284653803701413,0.08899893434889207,0.4596294724279918,0.06155501792768436,3.1706417770307045
İSTANBUL,PENDİK,BALLICA MAH.,BALLICA,1,287,0.49477351916376305,0.0,0.23693379790940766,0.010452961672473868,0.0,0.020905923344947737,0.0,0.11846689895470383,0.0,0.006968641114982578,0.003484320557491289,0.10801393728222997
İSTANBUL,PENDİK,BATI MAH.,BATI,32,10117,7.4732105413913175,0.01620898087641207,14.896588789766279,0.18913023001456514,0.0030303030303030303,1.9664549173879753,0.01551958679618254,2.0482945371215195,0.16665812392731327,0.3968655208595694,0.1189919892947459,4.709046479533819
İSTANBUL,PENDİK,DOĞU MAH.,DOĞU,32,10419,11.098897619756226,0.014944750140570137,11.448010163949206,0.22736771495158267,0.0,1.7104644725075573,0.03067281398296336,2.267784010648882,0.1358019491885696,0.5815081481629076,0.0677734925812582,4.416774864130275
İSTANBUL,PENDİK,DUMLUPINAR MAH.,DUMLUPINAR,50,15789,28.044325279059663,0.016280617653116232,7.421179909750622,0.5679730883808457,0.0030303030303030303,2.59136098766619,0.10742938205704258,6.5545360340748084,0.0999147388041789,0.7645854253254958,0.11004675905390524,3.7193374751438304
İSTANBUL,PENDİK,EMİRLİ MAH.,EMİRLİ,1,183,0.4371584699453552,0.0,0.15846994535519127,0.0273224043715847,0.0,0.01639344262295082,0.01092896174863388,0.2185792349726776,0.0,0.00546448087431694,0.0,0.12568306010928962
İSTANBUL,PENDİK,ERTUĞRUL GAZİ MAH.,ERTUĞRUL GAZİ,28,9005,13.082971619684542,0.0,6.072086200879984,0.4391020597495954,0.00303951367781155,3.129176258469972,0.059036946892332944,3.4330077012930693,0.05864504843073337,0.30244409139676304,0.05699737034409014,1.3634931891811053
İSTANBUL,PENDİK,ESENLER MAH.,ESENLER,58,19182,33.165260328324166,0.02100234083526291,8.573001799637282,0.6149970447013456,0.003205128205128205,4.21398975194744,0.09633761668961417,7.060239276339296,0.07856211563534583,1.1162920342196845,0.06390124441127042,2.9932113190541667
İSTANBUL,PENDİK,ESENYALI MAH.,ESENYALI,26,8305,14.995340895524453,0.003194888178913738,3.728390114015923,0.29179440484866526,0.0,1.363968247378443,0.04923579937092945,3.2923345267563047,0.046601402633895894,0.4858348409286732,0.02470968263640897,1.7185951977273897
İSTANBUL,PENDİK,FATİH MAH.,FATİH,39,12204,19.97419143641686,0.0063502303218458,6.559408524823102,0.4987028531337173,0.0,4.417477851067855,0.07927600382669586,4.819210214913407,0.07096069099309375,0.5892361809702205,0.2689808314670893,1.7162051820661126
İSTANBUL,PENDİK,FEVZİ ÇAKMAK MAH.,FEVZİ ÇAKMAK,70,22909,42.439246451442024,0.0,7.18351985080837,0.8686626253393186,0.0029411764705882353,3.409344532981345,0.17841122374871243,9.36664087576402,0.1322894539942104,1.6724371657772708,0.09139844398275955,4.655108199691385
İSTANBUL,PENDİK,GÖÇBEYLİ MAH.,GÖÇBEYLİ,3,698,1.8463485812735136,0.0,0.2382624758947673,0.04358009698890821,0.0,0.025122182764319115,0.02228364792972226,0.6324293476643956,0.0,0.03384875031441608,0.004201680672268907,0.15392323649768888
İSTANBUL,PENDİK,GÜLLÜ BAĞLAR MAH.,GÜLLÜ BAĞLAR,27,8769,15.09919091956214,0.009177262501296538,4.928312508124383,0.30552400736556323,0.0,1.6821022897040145,0.021621100893556348,3.0403159312090624,0.05278705031560526,0.38940400349681054,0.039538235558797756,1.4320266912687707
İSTANBUL,PENDİK,GÜZELYALI MAH.,GÜZELYALI,64,20966,31.212649979478105,0.012172942911235574,14.672530593666028,0.6407918007950236,0.00915690741866611,3.974558067588215,0.046044958917475856,6.969602089942953,0.14958745535699358,1.2393495479883914,0.1405091649235731,4.93304649101334
İSTANBUL,PENDİK,HARMANDERE MAH.,HARMANDERE,15,4698,4.774208554000595,0.009698842023411723,5.394617513254151,0.10576662569483929,0.0,1.2592588571173557,0.022210421810662618,1.3775409098010714,0.051263493882665295,0.3108204794761359,0.0129059559285117,1.6817083470105996
İSTANBUL,PENDİK,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,1,91,0.07692307692307693,0.0,0.15384615384615385,0.0,0.0,0.32967032967032966,0.0,0.3516483516483517,0.01098901098901099,0.01098901098901099,0.0,0.06593406593406594
İSTANBUL,PENDİK,KAVAKPINAR MAH.,KAVAKPINAR,110,35818,56.49441465087638,0.02152550571494292,19.41008008958842,1.1123003435432877,0.0029940119760479044,14.161281602050156,0.38249847335138387,11.757257516646527,0.22382504219584373,1.6679571134616236,0.13077690243297535,4.635088748162416
İSTANBUL,PENDİK,KAYNARCA MAH.,KAYNARCA,94,30089,45.74395036728635,0.015628075776926223,17.6465401244537,0.9677184643717657,0.009541103176980972,6.780463485321895,0.2003702890838643,10.9232033390183,0.28671186885359234,1.9825676585790717,0.16360113962739484,9.279704084450154
İSTANBUL,PENDİK,KURNA MAH.,KURNA,3,793,1.5683558791046899,0.0,0.438517902803116,0.015096881006832883,0.0,0.3776605988383239,0.0038022813688212928,0.32062637830600454,0.0,0.011412044622376726,0.026113469731670173,0.23841456421816448
İSTANBUL,PENDİK,KURTDOĞMUŞ MAH.,KURTDOĞMUŞ,1,326,0.4570552147239264,0.0,0.19938650306748465,0.012269938650306749,0.0,0.024539877300613498,0.006134969325153374,0.09202453987730061,0.006134969325153374,0.02147239263803681,0.003067484662576687,0.17791411042944785
İSTANBUL,PENDİK,KURTKÖY MAH.,KURTKÖY,59,18559,28.26074002736751,0.018754747130037233,11.617423812448283,0.5863856986942132,0.0030864197530864196,5.432851053745117,0.07277205236755106,6.883008488206341,0.11280247017560714,1.05618203352053,0.07524557903394703,4.880747617557773
İSTANBUL,PENDİK,ORHANGAZİ MAH.,ORHANGAZİ,52,16628,29.107935529842738,0.009319913616687476,8.050157141438104,0.6998075446700655,0.0062992282205424285,3.0227659404350495,0.06309633998242398,7.040606309559358,0.0595403315788864,0.9062367849402647,0.06345228937333454,2.9707826463425464
İSTANBUL,PENDİK,ORTA MAH.,ORTA,12,3827,6.221759065048132,0.0037313432835820895,2.1697686027489023,0.1109393578589703,0.0,0.3982593715037596,0.022569053661406043,1.603194255589303,0.03794182789017376,0.1558273806545507,0.03428935466028343,1.241720387100937
İSTANBUL,PENDİK,RAMAZANOĞLU MAH.,RAMAZANOĞLU,6,1814,2.499506539231455,0.0,1.5916084591079576,0.07365373308068465,0.0,0.9532972441341991,0.003236245954692557,0.5531066373088875,0.01328741554533583,0.10937794577202906,0.0,0.20292577986475868
İSTANBUL,PENDİK,SANAYİ MAH.,SANAYİ,7,2045,3.024713892860402,0.0033003300330033004,1.2916750997156148,0.08275438118399184,0.0,1.2406040633035302,0.017268781354097835,0.7891633175299351,0.020492188720763627,0.14509238913237388,0.030510256074536356,0.3544253000917512
İSTANBUL,PENDİK,SAPAN BAĞLARI MAH.,SAPAN BAĞLARI,23,7405,7.4235834951665005,0.006216036215167514,9.22632573632608,0.10691627132297658,0.003115264797507788,1.3266739818426927,0.027842049019510023,1.8275876333426526,0.05929754992854422,0.31896036893245133,0.038022187692770236,2.6354594254131465
İSTANBUL,PENDİK,SÜLÜNTEPE MAH.,SÜLÜNTEPE,44,14241,18.513357712469734,0.012195575385759435,10.772431991086993,0.4841142590655948,0.0,7.30017569900212,0.1366542374602581,3.8010712976271854,0.07875315452161895,0.6532896349799775,0.06177387449750364,2.1861825639032553
İSTANBUL,PENDİK,VELİBABA MAH.,VELİBABA,68,21919,36.87858661149705,0.012383960279594507,10.92861845126355,0.7964377578007089,0.0,4.733381499735725,0.1480622038608594,8.523220178858729,0.1598987958575719,1.0962994897763727,0.07717712761682256,4.645933923453016
İSTANBUL,PENDİK,YAYALAR MAH.,YAYALAR,22,7290,10.070489240713231,0.00885838802840797,5.417051942359869,0.23927624756948057,0.0,1.617029464588869,0.015197426226837991,2.312815696394539,0.07895816453571182,0.4609603962709852,0.03948105373833958,1.7398819795737293
İSTANBUL,PENDİK,YENİ MAH.,YENİ,31,10233,9.314360913194623,0.021038002506899252,13.65278823558372,0.18395616008554264,0.0030581039755351682,1.6086423514499186,0.03704310833789394,1.8985427886106891,0.1089835811697318,0.4674420741185865,0.06722315989741673,3.636921521069442
İSTANBUL,PENDİK,YENİŞEHİR MAH.,YENİŞEHİR,109,35046,33.937835035104165,0.046414883486619624,39.83383303165465,0.7256438971910854,0.0062813079320001575,9.866651039273693,0.12721877168543783,8.696946694435397,0.4408350215718154,1.859516355823016,0.29839018389776095,13.16043377794436
İSTANBUL,PENDİK,YEŞİLBAĞLAR MAH.,YEŞİLBAĞLAR,12,3988,4.474216855860909,0.0,4.335788749947239,0.09650302947125493,0.0030120481927710845,0.9437007581269151,0.012156879660577808,0.9245897262889851,0.024010024667502163,0.20328140024948144,0.015138029451448418,0.9676024980829165
İSTANBUL,PENDİK,ÇAMLIK MAH.,ÇAMLIK,28,9029,13.016165921689309,0.009494426751592358,6.046750385989163,0.15541418439356394,0.0,2.3162122488996326,0.052723516401808536,2.1847475937176046,0.09323112950249578,1.0591120963167706,0.07711242894187689,2.9890360673961833
İSTANBUL,PENDİK,ÇAMÇEŞME MAH.,ÇAMÇEŞME,60,19516,36.39411361375998,0.0059525918577047095,6.69093798335599,0.7484997011968769,0.0061633428300094965,2.409673876626469,0.09346484710223277,8.204897206050326,0.08931271454787865,1.30023542540387,0.10953739500088683,3.9472113022677795
İSTANBUL,PENDİK,ÇINARDERE MAH.,ÇINARDERE,37,11816,18.169617519558958,0.015528920312073802,7.605394445946369,0.3700358081758616,0.0033333333333333335,1.7327209862812574,0.07342626424825664,4.680212658781065,0.11103377593012627,0.5739833278028956,0.07576024794473066,3.588952711685074
İSTANBUL,PENDİK,ŞEYHLİ MAH.,ŞEYHLİ,32,10316,16.391726765136465,0.006213337449830195,6.103609104479591,0.28281625381970404,0.0,2.004332557662633,0.06336344281449531,3.587781762584765,0.08037698230650941,0.752209843360983,0.04059343311839783,2.6869765172666265
