il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,ABDULSAMED ELÇİ,AK PARTİ,BTP,CHP,DSP,SAADET,VATAN PARTİSİ
İSTANBUL,PENDİK,AHMET YESEVİ MAH.,AHMET YESEVİ,53,14535,0.0437303595639393,25.33192054126186,0.14190841432973397,26.19633316565475,0.19384726538563302,1.00559255100922,0.08666770279486641
İSTANBUL,PENDİK,BAHÇELİEVLER MAH.,BAHÇELİEVLER,28,7682,0.055767514507250066,12.753099191301432,0.07146914455369541,13.881722002460865,0.12257935721282681,1.0201586566551992,0.09520413330873127
İSTANBUL,PENDİK,BALLICA MAH.,BALLICA,2,477,0.0,1.2270201842604966,0.008298755186721992,0.7057985793656375,0.004149377593360996,0.04634643786482875,0.008386665728954216
İSTANBUL,PENDİK,BATI MAH.,BATI,33,8982,0.05786481767118695,9.307285522804971,0.05130412528268615,22.349325894235864,0.28611065743861464,0.732916156991721,0.21519282557495376
İSTANBUL,PENDİK,DOĞU MAH.,DOĞU,35,9671,0.0782119807966993,14.114082723083635,0.06936272429574405,19.140784777891458,0.1677353894890106,1.301116952285901,0.12870545215755305
İSTANBUL,PENDİK,DUMLUPINAR MAH.,DUMLUPINAR,52,14624,0.05187034707960352,32.537874467900835,0.12363823188026539,17.72967583201005,0.2313996291002777,1.235942930370902,0.08959856165806723
İSTANBUL,PENDİK,EMİRLİ MAH.,EMİRLİ,1,176,0.0,0.6022727272727273,0.017045454545454544,0.35795454545454547,0.0,0.022727272727272728,0.0
İSTANBUL,PENDİK,ERTUĞRUL GAZİ MAH.,ERTUĞRUL GAZİ,30,8388,0.03227901357370394,15.151977078124055,0.05304841338124582,14.120407539967264,0.14955007874505083,0.4255959029674925,0.06714197324118669
İSTANBUL,PENDİK,ESENLER MAH.,ESENLER,63,17702,0.19443232661109391,41.75646308832936,0.1865601166341688,18.727382627260194,0.1674523459315147,1.8510060580547114,0.11670343717895179
İSTANBUL,PENDİK,ESENYALI MAH.,ESENYALI,28,7672,0.08766436723967173,18.690329297564922,0.06154861279491349,8.253266188965478,0.11931256095754662,0.721894423024478,0.0659845494529896
İSTANBUL,PENDİK,FATİH MAH.,FATİH,41,11399,0.04286274050738937,24.68843210027865,0.13903613345982366,14.89646644880105,0.2182333691129483,0.934782956563466,0.08018625127667472
İSTANBUL,PENDİK,FEVZİ ÇAKMAK MAH.,FEVZİ ÇAKMAK,74,21087,0.14632339864515714,51.145651952069116,0.20146147458745664,19.567027924832338,0.27445843612177534,2.554500291043825,0.11057652270032957
İSTANBUL,PENDİK,GÖÇBEYLİ MAH.,GÖÇBEYLİ,3,919,0.003236245954692557,2.0992193425390715,0.003215434083601286,0.8419412519857848,0.006472491909385114,0.039334505967421204,0.006580727560043727
İSTANBUL,PENDİK,GÜLLÜ BAĞLAR MAH.,GÜLLÜ BAĞLAR,30,8440,0.04623199723857185,18.554338349708623,0.12996612579564007,10.41681431289565,0.10581045906201933,0.7081399829451606,0.03869877235433716
İSTANBUL,PENDİK,GÜZELYALI MAH.,GÜZELYALI,69,19429,0.100180443688318,39.31764868982748,0.21824028495048736,26.905142508710146,0.24480266295583428,2.092646654490542,0.12133875537719047
İSTANBUL,PENDİK,HARMANDERE MAH.,HARMANDERE,16,4406,0.02882815686178968,6.275255553321712,0.03636584265982318,9.106503845041772,0.0657334602219483,0.4366146193646576,0.05069852252829783
İSTANBUL,PENDİK,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,1,12,0.0,0.3333333333333333,0.0,0.5833333333333334,0.0,0.08333333333333333,0.0
İSTANBUL,PENDİK,KAVAKPINAR MAH.,KAVAKPINAR,116,32710,0.13073434238204285,67.33324089715401,0.32687890664400937,44.82690354557391,0.40145622231526085,2.778981351693994,0.20180473423676196
İSTANBUL,PENDİK,KAYNARCA MAH.,KAYNARCA,99,27709,0.15637677832345911,55.093849339837284,0.32583481183177226,39.21234252836841,0.4015199542689228,3.5142738782665583,0.2958027091035939
İSTANBUL,PENDİK,KURNA MAH.,KURNA,3,704,0.004464285714285714,1.7796415891396924,0.008928571428571428,1.0878123194103073,0.0220412432755529,0.0759460264687135,0.021165964562876834
İSTANBUL,PENDİK,KURTDOĞMUŞ MAH.,KURTDOĞMUŞ,2,442,0.0,1.203718492126871,0.009050514978397525,0.7648094682310542,0.0,0.02242152466367713,0.0
İSTANBUL,PENDİK,KURTKÖY MAH.,KURTKÖY,64,17429,0.1326297294396236,35.84156576168493,0.22482889659655267,25.267347916584498,0.3400132248732063,1.9713503737154454,0.2222640971057425
İSTANBUL,PENDİK,ORHANGAZİ MAH.,ORHANGAZİ,55,15211,0.05321458191604428,35.81442167072537,0.3627447910964554,16.90310317484326,0.23762372796649092,1.5411998231875268,0.08769223026484993
İSTANBUL,PENDİK,ORTA MAH.,ORTA,13,3561,0.007054871220604704,7.343565592170824,0.032745884449894146,5.157905571045285,0.10987673618539497,0.32343338313342457,0.025417961794572057
İSTANBUL,PENDİK,RAMAZANOĞLU MAH.,RAMAZANOĞLU,6,1715,0.0072992700729927005,2.6908589513444525,0.013903383594743178,3.1416933008446204,0.021232704212177874,0.1216225594225388,0.003389830508474576
İSTANBUL,PENDİK,SANAYİ MAH.,SANAYİ,7,2027,0.00682983682983683,3.428028007613188,0.020727665087688467,3.216669081109015,0.020620992099659546,0.28632320022207225,0.020801217038539554
İSTANBUL,PENDİK,SAPAN BAĞLARI MAH.,SAPAN BAĞLARI,25,7051,0.03209186703442212,9.81624317152109,0.024427060282797144,14.342174505025957,0.1626624111746371,0.5657893924015699,0.05661159255952686
İSTANBUL,PENDİK,SÜLÜNTEPE MAH.,SÜLÜNTEPE,47,13188,0.07461911544716827,22.671659884520075,0.100600389878105,22.67555808721838,0.20295498235806972,1.2063836622711377,0.06822387830706134
İSTANBUL,PENDİK,VELİBABA MAH.,VELİBABA,74,20305,0.15608336658581393,45.95505465242078,0.17639397477696406,25.36812084377597,0.29160277228297704,1.9186161231562928,0.13412826700120586
İSTANBUL,PENDİK,YAYALAR MAH.,YAYALAR,25,6863,0.04696246388802298,12.944453326276948,0.07943532878373977,10.887953715097378,0.1439981848141845,0.827443629576943,0.06975335156278352
İSTANBUL,PENDİK,YENİ MAH.,YENİ,35,9803,0.05980908356526134,12.34803319545972,0.053077924506289016,21.256974613633773,0.20726005492161073,0.9652881739419344,0.10955695397141241
İSTANBUL,PENDİK,YENİŞEHİR MAH.,YENİŞEHİR,121,32244,0.25594792103081215,44.94079178500748,0.28150284864825714,71.3388273086796,0.5990094600596509,3.144910586780232,0.43901008979397355
İSTANBUL,PENDİK,YEŞİLBAĞLAR MAH.,YEŞİLBAĞLAR,13,3826,0.023197214615714935,5.583251249457808,0.013601393306072997,6.95799189113081,0.07806402678587027,0.29640137733806743,0.04749284736565711
İSTANBUL,PENDİK,ÇAMLIK MAH.,ÇAMLIK,31,8764,0.0666996506217867,16.381965321709924,0.06874334490638742,12.595813102205598,0.07419074520808215,1.681187134266113,0.1314007010821076
İSTANBUL,PENDİK,ÇAMÇEŞME MAH.,ÇAMÇEŞME,63,17911,0.16753708963440647,44.52989199679712,0.1624337796067129,15.869764372003527,0.26408035286244297,1.9260036114518597,0.0802887976439343
İSTANBUL,PENDİK,ÇINARDERE MAH.,ÇINARDERE,42,11189,0.10015316477355941,23.769935838652575,0.1386444597129071,16.63899442012505,0.25986995311035893,0.9738538123808969,0.11854835124465042
İSTANBUL,PENDİK,ŞEYHLİ MAH.,ŞEYHLİ,36,9957,0.07519769077219687,21.24002463691427,0.11267925945625841,12.958987038311989,0.2025243464593139,1.3182961874595178,0.09229084062645304
